source,target,direction
REACTOME_GLYCOGEN_METABOLISM,Agl,Up
REACTOME_GLYCOGEN_METABOLISM,Calm1,Up
REACTOME_GLYCOGEN_METABOLISM,Calm2,Up
REACTOME_GLYCOGEN_METABOLISM,Calm3,Up
REACTOME_GLYCOGEN_METABOLISM,Gaa,Up
REACTOME_GLYCOGEN_METABOLISM,Gbe1,Up
REACTOME_GLYCOGEN_METABOLISM,Gyg1,Up
REACTOME_GLYCOGEN_METABOLISM,Gys1,Up
REACTOME_GLYCOGEN_METABOLISM,Pgm1,Up
REACTOME_GLYCOGEN_METABOLISM,Phka1,Up
REACTOME_GLYCOGEN_METABOLISM,Phka2,Up
REACTOME_GLYCOGEN_METABOLISM,Phkb,Up
REACTOME_GLYCOGEN_METABOLISM,Phkg1,Up
REACTOME_GLYCOGEN_METABOLISM,Phkg2,Up
REACTOME_GLYCOGEN_METABOLISM,Ppp1r3c,Up
REACTOME_GLYCOGEN_METABOLISM,Pygl,Up
REACTOME_GLYCOGEN_METABOLISM,Pygm,Up
REACTOME_GLYCOGEN_METABOLISM,Ugp2,Up
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Abcc5,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Acan,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Agrn,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Arsb,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,B3galt6,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,B3gat1,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,B3gat2,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,B3gat3,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,B3gnt2,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,B3gnt3,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,B3gnt4,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,B3gnt7,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,B4galt1,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,B4galt2,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,B4galt3,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,B4galt4,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,B4galt5,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,B4galt6,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,B4galt7,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,B4gat1,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Bcan,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Bgn,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Cd44,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Cemip,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Chp1,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Chpf,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Chpf2,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Chst1,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Chst11,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Chst12,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Chst13,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Chst14,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Chst15,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Chst2,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Chst3,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Chst5,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Chst7,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Chst9,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Chsy1,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Chsy3,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Csgalnact1,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Csgalnact2,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Cspg4,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Cspg5,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Dcn,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Dse,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Dsel,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Ext1,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Ext2,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Fmod,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Galns,Down
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Glb1,Down
