source,target,direction
REACTOME_GLUCOSE_METABOLISM,Aaas,Up
REACTOME_GLUCOSE_METABOLISM,Adpgk,Up
REACTOME_GLUCOSE_METABOLISM,Aldoa,Up
REACTOME_GLUCOSE_METABOLISM,Aldob,Up
REACTOME_GLUCOSE_METABOLISM,Aldoc,Up
REACTOME_GLUCOSE_METABOLISM,Bpgm,Up
REACTOME_GLUCOSE_METABOLISM,Eno2,Up
REACTOME_GLUCOSE_METABOLISM,Eno3,Up
REACTOME_GLUCOSE_METABOLISM,Eno4,Up
REACTOME_GLUCOSE_METABOLISM,Fbp1,Up
REACTOME_GLUCOSE_METABOLISM,Fbp2,Up
REACTOME_GLUCOSE_METABOLISM,G6pc1,Up
REACTOME_GLUCOSE_METABOLISM,G6pc2,Up
REACTOME_GLUCOSE_METABOLISM,G6pc3,Up
REACTOME_GLUCOSE_METABOLISM,Gapdh,Up
REACTOME_GLUCOSE_METABOLISM,Gapdhs,Up
REACTOME_GLUCOSE_METABOLISM,Gck,Up
REACTOME_GLUCOSE_METABOLISM,Gckr,Up
REACTOME_GLUCOSE_METABOLISM,Gnpda1,Up
REACTOME_GLUCOSE_METABOLISM,Gnpda2,Up
REACTOME_GLUCOSE_METABOLISM,Gpi1,Up
REACTOME_GLUCOSE_METABOLISM,Hk1,Up
REACTOME_GLUCOSE_METABOLISM,Hk2,Up
REACTOME_GLUCOSE_METABOLISM,Hk3,Up
REACTOME_GLUCOSE_METABOLISM,Hkdc1,Up
REACTOME_GLUCOSE_METABOLISM,Ndc1,Up
REACTOME_GLUCOSE_METABOLISM,Nup107,Up
REACTOME_GLUCOSE_METABOLISM,Nup133,Up
REACTOME_GLUCOSE_METABOLISM,Nup153,Up
REACTOME_GLUCOSE_METABOLISM,Nup155,Up
REACTOME_GLUCOSE_METABOLISM,Nup160,Up
REACTOME_GLUCOSE_METABOLISM,Nup188,Up
REACTOME_GLUCOSE_METABOLISM,Nup205,Up
REACTOME_GLUCOSE_METABOLISM,Nup210,Up
REACTOME_GLUCOSE_METABOLISM,Nup214,Up
REACTOME_GLUCOSE_METABOLISM,Nup35,Up
REACTOME_GLUCOSE_METABOLISM,Nup37,Up
REACTOME_GLUCOSE_METABOLISM,Nup43,Up
REACTOME_GLUCOSE_METABOLISM,Nup50,Up
REACTOME_GLUCOSE_METABOLISM,Nup54,Up
REACTOME_GLUCOSE_METABOLISM,Nup58,Up
REACTOME_GLUCOSE_METABOLISM,Nup62,Up
REACTOME_GLUCOSE_METABOLISM,Nup85,Up
REACTOME_GLUCOSE_METABOLISM,Nup88,Up
REACTOME_GLUCOSE_METABOLISM,Nup93,Up
REACTOME_GLUCOSE_METABOLISM,Nup98,Up
REACTOME_GLUCOSE_METABOLISM,Nupl2,Up
REACTOME_GLUCOSE_METABOLISM,Pck1,Up
REACTOME_GLUCOSE_METABOLISM,Pck2,Up
REACTOME_GLUCOSE_METABOLISM,Pcx,Up
REACTOME_GLUCOSE_METABOLISM,Pfkfb1,Up
REACTOME_GLUCOSE_METABOLISM,Pfkfb2,Up
REACTOME_GLUCOSE_METABOLISM,Pfkfb3,Up
REACTOME_GLUCOSE_METABOLISM,Pfkfb4,Up
REACTOME_GLUCOSE_METABOLISM,Pfkl,Up
REACTOME_GLUCOSE_METABOLISM,Pfkm,Up
REACTOME_GLUCOSE_METABOLISM,Pfkp,Up
REACTOME_GLUCOSE_METABOLISM,Pgam1,Up
REACTOME_GLUCOSE_METABOLISM,Pgam2,Up
REACTOME_GLUCOSE_METABOLISM,Pgk1,Up
REACTOME_GLUCOSE_METABOLISM,Pgk2,Up
REACTOME_GLUCOSE_METABOLISM,Pgm2l1,Up
REACTOME_GLUCOSE_METABOLISM,Pkm,Up
REACTOME_GLUCOSE_METABOLISM,Pom121,Up
REACTOME_GLUCOSE_METABOLISM,Rae1,Up
REACTOME_GLUCOSE_METABOLISM,Ranbp2,Up
REACTOME_GLUCOSE_METABOLISM,Sec13,Up
REACTOME_GLUCOSE_METABOLISM,Seh1l,Up
REACTOME_GLUCOSE_METABOLISM,Slc37a1,Up
REACTOME_GLUCOSE_METABOLISM,Slc37a2,Up
REACTOME_GLUCOSE_METABOLISM,Slc37a4,Up
REACTOME_GLUCOSE_METABOLISM,Tpi1,Up
REACTOME_GLUCOSE_METABOLISM,Tpr,Up
REACTOME_GLYCOGEN_METABOLISM,Agl,Down
REACTOME_GLYCOGEN_METABOLISM,Calm1,Down
